latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.6924,-120.4148,367.2,0.42,0.39,2026-05-01,2104,N20,VIIRS,h,2.0NRT,302.4,412.0,N
38.7019,-120.3942,358.7,0.43,0.40,2026-05-01,2104,N20,VIIRS,h,2.0NRT,298.3,318.5,N
38.6837,-120.4385,341.5,0.42,0.39,2026-05-01,2104,N20,VIIRS,n,2.0NRT,287.1,164.2,N
38.6701,-120.4022,332.8,0.41,0.39,2026-05-01,2104,N20,VIIRS,n,2.0NRT,281.6,98.7,N
38.7142,-120.3867,348.9,0.43,0.40,2026-05-01,2104,N20,VIIRS,h,2.0NRT,294.8,247.3,N
38.6605,-120.4517,325.4,0.42,0.39,2026-05-01,2104,N20,VIIRS,n,2.0NRT,278.2,72.1,N
38.7283,-120.3724,355.1,0.43,0.40,2026-05-01,2104,N20,VIIRS,h,2.0NRT,296.7,289.6,N
38.6492,-120.4691,318.6,0.41,0.38,2026-05-01,2104,N20,VIIRS,l,2.0NRT,272.5,45.8,N
38.6981,-120.3578,338.2,0.43,0.40,2026-05-01,2104,N20,VIIRS,n,2.0NRT,285.4,142.9,N
38.6758,-120.3892,344.7,0.42,0.39,2026-05-01,2104,N20,VIIRS,n,2.0NRT,289.6,189.4,N
38.7398,-120.3501,361.3,0.44,0.41,2026-05-01,2104,N20,VIIRS,h,2.0NRT,300.1,376.2,N
38.6346,-120.4839,312.7,0.41,0.38,2026-05-01,2104,N20,VIIRS,l,2.0NRT,269.8,38.4,N
38.7065,-120.3413,329.4,0.43,0.40,2026-05-01,2104,N20,VIIRS,n,2.0NRT,283.7,118.5,N
38.6859,-120.4271,353.6,0.42,0.39,2026-05-01,2104,N20,VIIRS,h,2.0NRT,295.2,221.8,N
